dallas_idx,name,series_code,line_no,bea_label
37,Therapeutic Medical Equipment,DTMERG,67,Therapeutic medical equipment
38,Corrective Eyeglasses & Contact Lenses,DEYERG,68,Corrective eyeglasses and contact lenses
39,Educational Books,DEBKRG,69,Educational books (96)
40,Luggage & Similar Personal Items,DLUGRG,70,Luggage and similar personal items (part of 119)
41,Telephone & Facsimile Equipment,DTCERG,71,Telephone and related communication equipment
42,Cereals,DGRARG,77,Cereals
43,Bakery Products,DBAKRG,78,Bakery products
44,Beef and Veal,DBEERG,80,Beef and veal
45,Pork,DPORRG,81,Pork
46,Other Meats,DMEARG,82,Other meats
47,Poultry,DPOURG,83,Poultry
48,Fish and Seafood,DFISRG,84,Fish and seafood
49,Fresh Milk,DMILRG,86,Fresh milk
50,Processed Dairy Products,DDAIRG,87,Processed dairy products
51,Eggs,DGGSRG,88,Eggs
52,Fats and Oils,DFATRG,89,Fats and oils
53,Fresh Fruit,DFRURG,91,Fruit (fresh)
54,Fresh Vegetables,DVEGRG,92,Vegetables (fresh)
55,Processed Fruits & Vegetables,DPFVRG,93,Processed fruits and vegetables
56,Sugar and Sweets,DSWERG,94,Sugar and sweets
57,"Food Products, Not Elsewhere Classified",DOFDRG,95,"Food products, not elsewhere classified"
58,"Coffee, Tea & Other Beverage Materials",DCTMRG,97,"Coffee, tea, and other beverage materials"
59,"Mineral Waters, Soft Drinks & Vegetable Juices",DJNBRG,98,"Mineral waters, soft drinks, and vegetable juices"
60,Spirits,DLIQRG,100,Spirits
61,Wine,DWINRG,101,Wine
